'a'bi'ke'tang 阿比可糖
'yi'xie'liu'an'suan 异缬硫氨酸
'yi'xing'bao 异形胞
'yi'xing'bao'zi 异形孢子
'yi'xing'cheng'hong'xi'bao 异形成红细胞
'yi'xing'chi 异型齿
'yi'xing'du'su 异性毒素
'yi'xing'fa'jiao 异型发酵
'yi'xing'gan'yan'bing'du 乙型肝炎病毒
'yi'xing'gan'yan'kang'yuan 乙型肝炎抗原
'yi'xing'he'zi 异形合子
'yi'xing'hong'xi'bao 异形红细胞
'yi'xing'hong'xi'bao'zheng 异形红细胞症
'yi'xing'jie'he 异型接合
'yi'xing'jie'he'ti 异型接合体
'yi'xing'jie'he'xing 异型接合性
'yi'xing'jie'he'zi 异型接合子
'yi'xing'kang'xue'qing 异型抗血清
'yi'xing'kang'yuan 异型抗原
'yi'xing'lian'ai 异性恋爱
'yi'xing'lian'hui 异型联会
'yi'xing'mei 异型酶
'yi'xing'pei'zi 异形配子
'yi'xing'pei'zi'pei'he 异形配子配合
'yi'xing'ran'se'ti 异形染色体
'yi'xing'rong'mei'ti 异型溶酶体
'yi'xing'shi'dai'jiao'ti 异型世代交替
'yi'xing'xi'bao'xing'cheng 异形细胞形成
'yi'xing'xian'xiang 异性现象
'yi'xing'xiang'hu'zuo'yong 异形相互作用
'yi'xing'xing 异形性
'yi'xing'xing'cheng 异形形成
'yi'xing'xing'yu 异性性欲
'yi'xing'xue'xiao'ban 异形血小板
'yi'xing'ya 异型牙
'yi'xing'ye'xing 异形叶性
'yi'xing'za'jiao 异型杂交
'yi'xing'zhi'wu 异形植物
'yi'xiong'duo'ci 一雄多雌
'yi'xiong'duo'ci'pei'he 一雄多雌配合
'yi'xiong'he'shou'jing 异雄核受精
'yi'xiong'zai'tong 异雄甾酮
'yi'xu'biao'da 依序表达
'yi'xuan'xing 异旋性
'yi'xue 蚁学
'yi'xue'gan'xing'mei 医学感性美
'yi'xue'huan'jing'mei 医学环境美
'yi'xue'ji'shu'mei 医学技术美
'yi'xue'ji'yi'mei 医学技艺美
'yi'xue'kang'fu 医学康复
'yi'xue'ke'xue'mei 医学科学美
'yi'xue'li'xing'mei 医学理性美
'yi'xue'mei 医学美
'yi'xue'mei'gan 医学美感
'yi'xue'mei'xue 医学美学
'yi'xue'ren'ti'mei 医学人体美
'yi'xue'shen'mei 医学审美
'yi'xue'shen'mei'dui'xiang 医学审美对象
'yi'xue'shen'mei'fan'chou 医学审美范畴
'yi'xue'shen'mei'guan 医学审美观
'yi'xue'shen'mei'guan'xi 医学审美关系
'yi'xue'shen'mei'jia'zhi 医学审美价值
'yi'xue'shen'mei'ke'ti 医学审美客体
'yi'xue'shen'mei'mu'biao 医学审美目标
'yi'xue'shen'mei'neng'li 医学审美能力
'yi'xue'shen'mei'pan'duan 医学审美判断
'yi'xue'shen'mei'xin'li 医学审美心理
'yi'xue'shen'mei'zhi'jue 医学审美直觉
'yi'xue'shen'mei'zhu'ti 医学审美主体
'yi'xue'yi'chuan'xue 医学遗传学
'yi'xue'zhen'jun'xue 医学真菌学
'yi'yan'ge'de'dong'wu 已阉割的动物
'yi'yan'jing 异烟肼
'yi'yan'xian'jing 异烟酰肼
'yi'yang 异养
'yi'yang'hua'tan'xi'jun 一氧化碳细菌
'yi'yang'hua'tan'xue'hong'dan'bai'xue 一氧化碳血红蛋白血
'yi'yang'hua'tan'ying'yang'jun 一氧化碳营养菌
'yi'yang'hua'wu'mei 一氧化物酶
'yi'yang'jun 异养菌
'yi'yang'sheng'wu 异养生物
'yi'yang'tiao'jie'ji 抑扬调节剂
'yi'yang'zhi'wu 异养植物
'yi'ye 胰液
'yi'ye 溢液
'yi'ye'di'jian 一叶荻碱
'yi'ye'guan'xi'qiu 移液管吸球
'yi'ye'hua'xing 易液化性
'yi'yi'su 抑胰素
'yi'yi'ti'huan 异义替换
'yi'ying'er'you'suan'gan'you'zhi 一硬二油酸甘油酯
'yi'ying'er'zong'lv'suan'gan'you'zhi 一硬二棕榈酸甘油酯
'yi'yong 缢蛹
'yi'yong'ju'he'wu 医用聚合物
'yi'you'chong 蚁幼虫
'yi'yu 衣鱼
'yi'yuan 异源
'yi'yuan'bei 异源倍
'yi'yuan'bei'xing 异源倍性
'yi'yuan'dan'bei'ti 异源单倍体
'yi'yuan'dan'dui'er'bei'ti 异源单对二倍体
'yi'yuan'duo'bei 异源多倍
'yi'yuan'duo'bei'ti 异源多倍体
'yi'yuan'duo'bei'ti'zhong 异源多倍体种
'yi'yuan'duo'bei'xing 异源多倍性
'yi'yuan'duo'yuan'dan'bei'ti 异源多元单倍体
'yi'yuan'er'bei'dan'ti 异源二倍单体
'yi'yuan'er'bei'ti 异源二倍体
'yi'yuan'lian'hui 异源联会
'yi'yuan'liu'bei'ti 异源六倍体
'yi'yuan'mian'yi 异源免疫
'yi'yuan'qian'he'ti 异源嵌合体
'yi'yuan'qu 翼缘区
'yi'yuan'rong'he 异源融合
'yi'yuan'san'bei'ti 异源三倍体
'yi'yuan'shi 异源式
'yi'yuan'shi'dai'jiao'ti 异源世代交替
'yi'yuan'shi'dai'jiao'ti'de'pei'zi'ti 异源世代交替的配子体
'yi'yuan'shuang'er'bei'ti 异源双二倍体
'yi'yuan'shuang'lian 异源双链
'yi'yuan'shuang'lian'xiu'fu 异源双链修复
'yi'yuan'shuang'lian'zuo'tu 异源双链作图
'yi'yuan'si'bei'ti 异源四倍体
'yi'yuan'ti'xing'niao'dao'yan 衣原体性尿道炎
'yi'yuan'tong'gong'mei 异源同工酶
'yi'yuan'wai'ji'su 异源外激素
'yi'yuan'xing 异源性
'yi'yuan'xing'duo'mao'zheng 医源性多毛症
'yi'yuan'xing'fu'shui 胰源性腹水
'yi'yuan'xing'yang'wei 医源性阳萎
'yi'yuan'yi'bei'ti 异源异倍体
'yi'yuan'yi'bei'xing 异源异倍性
'yi'yuan'yi'zhi 异源移植
'yi'yuan'yi'zhi 异源移殖
'yi'zang'qie'chu'shu 胰脏切除术
'yi'zao'shu 衣藻属
'yi'zei'gong'sheng 蚁贼共生
'yi'zeng'xue'tang'su 胰增血糖素
'yi'zhan'wei'dian'jie'he 已占位点结合
'yi'zhe'guo'san'tang 异蔗果三糖
'yi'zhen'jun'zuo'yong 抑真菌作用
'yi'zhi'chang'shu 抑制常数
'yi'zhi'cheng'fen'pei'yang'ye 已知成份培养液
'yi'zhi'dan'bai 抑制蛋白
'yi'zhi'fang'mei 胰脂肪酶
'yi'zhi'huo'mei 胰致活酶
'yi'zhi'ji 抑制剂
'yi'zhi'ji'fu'he'wu 抑制剂复合物
'yi'zhi'ji'su 抑制激素
'yi'zhi'ji'yin 抑制基因
'yi'zhi'ji'yin'min'gan'tu'bian'xing 抑制基因敏感突变型
'yi'zhi'ji'yin'tu'bian 抑制基因突变
'yi'zhi'ji'yin'tu'bian'xing 抑制基因突变型
'yi'zhi'jie'chu 抑制解除
'yi'zhi'jie'he 异质结合
'yi'zhi'jie'he'you'li'xing 异质结合有利性
'yi'zhi'kang'yuan 移植抗原
'yi'zhi'mei 胰脂酶
'yi'zhi'mei'yuan 胰脂酶原
'yi'zhi'mian'yi 移植免疫
'yi'zhi'mian'yi'xing 移植免疫性
'yi'zhi'mian'yi'xue 移植免疫学
'yi'zhi'ming'ming'xue 移植命名学
'yi'zhi'pai'chi 移植排斥
'yi'zhi'pian 移植片
'yi'zhi'qu 抑制区
'yi'zhi'shen'gong'neng'yan'chi 移植肾功能延迟
'yi'zhi'shen'huo'jian 移植肾活检
'yi'zhi'shen'yuan'bing'fu'fa 移植肾原病复发
'yi'zhi'shi'yan 移植试验
'yi'zhi'shuang'he 异质双核
'yi'zhi'shuang'he'ren 异质双核仁
'yi'zhi'shuang'lian 异质双链
'yi'zhi'su 抑制素
'yi'zhi'tai 抑制肽
'yi'zhi'ti 逸质体
'yi'zhi'ti 异质体
'yi'zhi'ti 移植体
'yi'zhi'tong'jing 异质同晶
'yi'zhi'tong'jing'xian'xiang 异质同晶现象
'yi'zhi'wei'dian 抑制位点
'yi'zhi'wu 抑制物
'yi'zhi'wu 移植物
'yi'zhi'wu'cun'huo'lv 移植物存活率
'yi'zhi'wu'kang'su'zhu'bing 移植物抗宿主病
'yi'zhi'wu'pai'chi 移植物排斥
'yi'zhi'wu'que'fa'xue'shuo 抑制物缺乏学说
'yi'zhi'wu'sheng'zhang'su 异植物生长素
'yi'zhi'wu'zhao'she 移植物照射
'yi'zhi'xi'bao 抑制细胞
'yi'zhi'xin'zang'fu'tiao 移植心脏复跳
'yi'zhi'xing 异质性
'yi'zhi'xing'ji'su 抑制性激素
'yi'zhi'xing'kang'yuan 异质性抗原
'yi'zhi'xing'tu'chu 抑制性突触
'yi'zhi'xing'tu'chu'hou'dian'shi 抑制性突触后电势
'yi'zhi'xiong'xian'xi'bao'lei'gu'chun 抑制胸腺细胞类固醇
'yi'zhi'xiong'xian'xi'bao'zai'lei 抑制胸腺细胞甾类
'yi'zhi'xu'lie 一致序列
'yi'zhi'yi'jia'xing'nang'zhong 移植胰假性囊肿
'yi'zhi'yi'yi'lou 移植胰胰瘘
'yi'zhi'yi'yi'xian'yan 移植胰胰腺炎
'yi'zhi'yi'zhi'wu 异质移植物
'yi'zhi'yin'zi 抑制因子
'yi'zhi'zhe 抑制者
'yi'zhi'zuo'yong 抑制作用
'yi'zhong 移种
'yi'zhong'bi'zhong'ji 一种比重计
'yi'zhong'bu'ti 异种补体
'yi'zhong'cai'liao'xin'zang'ban'mo 异种材料心脏瓣膜
'yi'zhong'cheng'xing'shu 异种成形术
'yi'zhong'dan'bing'ding'you'bian'ji 一种氮丙啶诱变剂
'yi'zhong'du'zhu 一种毒蛛
'yi'zhong'fei'li'zi'xing'qu'wu'ji 一种非离子型去污剂
'yi'zhong'fei'yang'he 异种肺氧合
'yi'zhong'fen'zi'neng'liang'tu 一种分子能量图
'yi'zhong'gan'rao 异种干扰
'yi'zhong'gong'qi 异种共栖
'yi'zhong'gong'sheng 异种共生
'yi'zhong'he'bao'mu'dan'jian 异种荷包牡丹碱
'yi'zhong'ji'quan'tang 一种己醛糖
'yi'zhong'ji'tuan 异种集团
'yi'zhong'ji'xian'wei'jie'gou 一种肌纤维结构
'yi'zhong'jia'jie 异种嫁接
'yi'zhong'kang'ai'yao 一种抗癌药
'yi'zhong'kang'ning'xue'ji'shang'pin'ming 一种抗凝血剂商品名
'yi'zhong'kang'ti 异种抗体
'yi'zhong'kang'xue'ning'ji 一种抗血凝剂
'yi'zhong'kang'ye'suan'wu 一种抗叶酸物
'yi'zhong'kang'yuan 异种抗原
'yi'zhong'kun'chong 蚁塚昆虫
'yi'zhong'liu'tan'tang 一种六碳糖
'yi'zhong'mei'jun'se'su 一种霉菌色素
'yi'zhong'mian'yi 异种免疫
'yi'zhong'mian'yi'yi'zhi'ji 一种免疫抑制剂
'yi'zhong'ning'ji'su 异种凝集素
'yi'zhong'qi'guan'zhi'huan'shu 异种气管置换术
'yi'zhong'rong'jie 异种溶解
'yi'zhong'rong'su 异种溶素
'yi'zhong'rong'xue'su 异种溶血素
'yi'zhong'san'bu 异种散布
'yi'zhong'shen'jing'xi'bao 一种神经细胞
'yi'zhong'sheng'zhi 异种生殖
'yi'zhong'shou'jing 异种受精
'yi'zhong'su'zhu'ji'sheng 异种宿主寄生
'yi'zhong'te'yi'xing 异种特异性
'yi'zhong'tu'bian'xing 一种突变型
'yi'zhong'xi'bao'du'su 异种细胞毒素
'yi'zhong'xi'bao'rong'su 异种细胞溶素
'yi'zhong'xiao'pi'hu 一种小辟虎
'yi'zhong'xin'xi'su 异种信息素
'yi'zhong'xin'zang'ban'mo 异种心脏瓣膜
'yi'zhong'xing 异种型
'yi'zhong'xing 异种性
'yi'zhong'ya'yi'zhi'shu 异种牙移植术
'yi'zhong'ye'tu 一种野兔
'yi'zhong'yi'dao'su'jie'kang'wu 一种胰岛素拮抗物
'yi'zhong'yi'miao 异种疫苗
'yi'zhong'yi'zhi 异种移植
'yi'zhong'yi'zhi'shu 异种移植术
'yi'zhong'yi'zhi'wu 异种移植物
'yi'zhong'ying'guang'ran'liao 一种荧光染料
'yi'zhong'zha'yao 一种炸药
'yi'zhong'zhong'zhi'tu'bian 一种终止突变
'yi'zhong'zhong'zhi'tu'bian'xing 一种终止突变型
'yi'zhong'zu'zhi 异种组织
'yi'zhou'xing 异周性
'yi'zhu'jun'chao 蚁筑菌巢
'yi'zhu'ke'sheng 异株克生
'yi'zhu'ke'sheng'wu'zhi 异柱克生物质
'yi'zhu'ke'sheng'xian'xiang 异柱克生现象
'yi'zhu'ke'sheng'xian'xiang 异株克生现象
'yi'zhu'shou'jing 异株受精
'yi'zhu'yi'he'sheng'zhi 异株异核生殖
'yi'zhuang'dou'gou 乙状窦沟
'yi'zhuang'dou'hou'ru'lu 乙状窦后入路
'yi'zhuang'dou'qian'ru'lu 乙状窦前入路
'yi'zhuang'gu 翼状骨
'yi'zhuang'jie'chang 乙状结肠
'yi'zhuang'jie'chang'pang'guang 乙状结肠膀胱
'yi'zhuang'jie'chang'pang'guang'kuo'da'shu 乙状结肠膀胱扩大术
'yi'zhuang'jie'chang'xi'mo 乙状结肠系膜
'yi'zhuang'mo 翼状膜
'yi'zhuang'ti 翼状体
'yi'zi'yin 遗子因
'yi'zong'pei'he 异宗配合
'yi'zong'pei'he'jiao'mu 异宗配合酵母
'yi'zou'gan 蚁走感
'yi'zu'fa'sheng 异祖发生
'yi'zu'jie'hun 异族结婚
'yi'zu'kang'yuan 异族抗原
'yi'zu'lei'ruan'ni 翼足类软泥
'yin'ban 龈瓣
'yin'bi 音必
'yin'bi'can'ji 隐蔽残基
'yin'bi'jian'jie'bu'wei 隐蔽剪接部位
'yin'bi'jue'ding'cu 隐蔽决定簇
'yin'bi'kang'yuan 隐蔽抗原
'yin'bi'luo 隐吡咯
'yin'bi'qi 隐蔽期
'yin'bi'qie'kou 隐蔽切口
'yin'bi'xi'bao 隐蔽细胞
'yin'bi'xing'tang'zhi 隐蔽性糖脂
'yin'bi'xing'zhi'li 隐蔽性质粒
'yin'bian'xing 龈变性
'yin'bu 蚓部
'yin'bu'guan 阴部管
'yin'bu'lin 隐卟啉
'yin'cang'se 隐藏色
'yin'che'qian'ming'jian 印车前明碱
'yin'cheng'xing'shu 龈成形术
'yin'chi'chong'pi'yan 隐翅虫皮炎
'yin'chui 蚓垂
'yin'chun'ji'dai 阴唇系带
'yin'chun'mei'rong'shu 阴唇美容术
'yin'dai 龈袋
'yin'dan'lan 茚氮兰
'yin'dao 音刀
'yin'dao'bi'suo 阴道闭锁
'yin'dao'jin'suo'shu 阴道紧缩术
'yin'dao'mu'ju 阴道模具
'yin'dao'pi'ban'yi'zhi'xing'cheng'shu 阴道皮瓣移植形成术
'yin'dao'pi'pian'yi'zhi'xing'cheng'shu 阴道皮片移植形成术
'yin'dao'qian'ting'qiu 阴道前庭球
'yin'dao'que'ru 阴道缺如
'yin'dao'song'chi 阴道松弛
'yin'dao'xia'zhai 阴道狭窄
'yin'dao'xing'cheng'shu 阴道形成术
'yin'dao'xu'lie 引导序列
'yin'dao'zai'zao'shu 阴道再造术
'yin'dao'zhan'mo'yan 阴道粘膜炎
'yin'di'bao'pi 阴蒂包皮
'yin'di'fu'sheng'zhi'wu 阴地附生植物
'yin'di'qie'chu'shu 阴蒂切除术
'yin'di'tou 阴蒂头
'yin'di'zhi'wu 阴地植物
'yin'dian'xing 阴电性
'yin'dou 引痘
'yin'dou'tou'mei'su 隐陡头霉素
'yin'du'da'ma 印度大麻
'yin'duo'ding'suan 吲哚丁酸
'yin'duo'fen 吲哚酚
'yin'duo'ji 吲哚基
'yin'duo'lin'tang'gan 吲哚蔺糖苷
'yin'duo'liu'suan 吲哚硫酸
'yin'duo'liu'suan'jia 吲哚硫酸钾
'yin'duo'pu'tang'gan 吲哚葡糖苷
'yin'duo'pu'tang'gan'zhi'wu 吲哚葡糖苷植物
'yin'duo'yang'ji 吲哚氧基
'yin'duo'yi'an 吲哚乙胺
'yin'duo'yi'chun 吲哚乙醇
'yin'duo'yi'jing 吲哚乙腈
'yin'duo'yi'suan 吲哚乙酸
'yin'er 隐耳
'yin'fa'jie'duan 引发阶段
'yin'fa'mei 引发酶
'yin'fa'ti 引发体
'yin'fa'wu 引发物
'yin'fu'qi 隐伏期
'yin'gao'zhe 隐睾者
'yin'gong'chen'zhuo'zheng 银汞沉着症
'yin'gong'he'jin 银汞合金
'yin'gou 龈沟
'yin'gou'ye'ce'liang'yi 龈沟液测量仪
'yin'gou'ye'qu'yang'zhi'tiao 龈沟液取样纸条
'yin'gu 龈谷
'yin'guo 隐果
'yin'hua'fen 银桦酚
'yin'hua'zhi'wu 隐花植物
'yin'huan'she'du'dan'bai 银环蛇毒蛋白
'yin'huan'she'du'su 银环蛇毒素
'yin'huang'zhi 隐黄质
'yin'ji'dian'jin'zhang 阴极电紧张
'yin'ji'fa 印迹法
'yin'ji'he'za'jiao 印迹和杂交
'yin'ji'ji'shu 印迹技术
'yin'ji'qu'fu'ji'fa 阴极区富集法
'yin'ji'za'jiao 印迹杂交
'yin'ji'zhuan'yi 印迹转移
'yin'ji'zhuan'yi'zhuang'zhi 印迹转移装置
'yin'jiao'gan'chun 银鲛肝醇
'yin'jie'xi'bao'ai 印戒细胞癌
'yin'jin'zhong 引进种
'yin'jing'a'mi'ba'bing 阴茎阿米巴病
'yin'jing'ai'qian'qi'bing'bian 阴茎癌前期病变
'yin'jing'bao'han'nang'zhong 阴茎包涵囊肿
'yin'jing'bo'qi 阴茎勃起
'yin'jing'cheng'xing'shu 阴茎成形术
'yin'jing'cuo'shang 阴茎挫伤
'yin'jing'fang'xian'jun'bing 阴茎放线菌病
'yin'jing'gu 阴茎骨
'yin'jing'gu'hua 阴茎骨化
'yin'jing'hei'se'su'liu 阴茎黑色素瘤
'yin'jing'huai'si 阴茎坏死
'yin'jing'ji'di'xi'bao'ai 阴茎基底细胞癌
'yin'jing'ji'xing 阴茎畸形
'yin'jing'jia'liu 阴茎假瘤
'yin'jing'jiao'zhai 阴茎绞窄
'yin'jing'jie'duan 阴茎截断
'yin'jing'jie'he 阴茎结核
'yin'jing'jie'he'zhen 阴茎结核疹
'yin'jing'jin'duan'xing'niao'dao'xia'lie 阴茎近端型尿道下裂
'yin'jing'lin'zhuang'xi'bao'ai 阴茎鳞状细胞癌
'yin'jing'lin'zhuang'xi'bao'yuan'wei'ai 阴茎鳞状细胞原位癌
'yin'jing'mai 隐静脉
'yin'jing'mei'du 阴茎梅毒
'yin'jing'mei'rong'shu 阴茎美容术
'yin'jing'nang'zhong 阴茎囊肿
'yin'jing'nian'ye'yang'nang'zhong 阴茎粘液样囊肿
'yin'jing'niu'zhuan 阴茎扭转
'yin'jing'pi'fu'si'tuo'shang 阴茎皮肤撕脱伤
'yin'jing'pi'yang'nang'zhong 阴茎皮样囊肿
'yin'jing'pi'zhi'xian'nang'zhong 阴茎皮脂腺囊肿
'yin'jing'qian'yin'nang 阴茎前阴囊
'yin'jing'qie'chu 阴茎切除
'yin'jing'que'ru 阴茎缺如
'yin'jing'que'shi 阴茎缺失
'yin'jing'sun'shang 阴茎损伤
'yin'jing'ti 阴茎体
'yin'jing'tou 阴茎头
'yin'jing'tou'bai'ban'bing 阴茎头白斑病
'yin'jing'tou'xing'niao'dao'shang'lie 阴茎头型尿道上裂
'yin'jing'tou'xing'niao'dao'xia'lie 阴茎头型尿道下裂
'yin'jing'tuo'wei 阴茎脱位
'yin'jing'xia'wan 阴茎下弯
'yin'jing'xia'wan'ji'xing 阴茎下弯畸形
'yin'jing'xian'wei'xing'hai'mian'ti'yan 阴茎纤维性海绵体炎
'yin'jing'xing'niao'dao'shang'lie 阴茎型尿道上裂
'yin'jing'xing'niao'dao'xia'lie 阴茎型尿道下裂
'yin'jing'xue'guan'liu 阴茎血管瘤
'yin'jing'xue'zhong 阴茎血肿
'yin'jing'yi'chang'bo'qi 阴茎异常勃起
'yin'jing'yin'nang'pi'fu'si'tuo 阴茎阴囊皮肤撕脱
'yin'jing'yin'nang'xiang'pi'zhong 阴茎阴囊象皮肿
'yin'jing'yin'nang'xing'niao'dao'xia'lie 阴茎阴囊型尿道下裂
'yin'jing'yuan'duan'xing'niao'dao'xia'lie 阴茎远端型尿道下裂
'yin'jing'zai'zao 阴茎再造
'yin'jing'zhe'duan 阴茎折断
'yin'jing'zhong'liu 阴茎肿瘤
'yin'jing'zhuan'wei 阴茎转位
'yin'ju'dong'wu 隐居动物
'yin'jun'zuo'yong 引菌作用
'yin'kou'yan 龈口炎
'yin'li'zi 阴离子
'yin'li'zi'biao'mian'huo'xing'ji 阴离子表面活性剂
'yin'li'zi'dian'yong 阴离子电泳
'yin'li'zi'hu'xi 阴离子呼吸
'yin'li'zi'jian 阴离子碱
'yin'li'zi'jiao'huan 阴离子交换
'yin'li'zi'jiao'huan'huan'zhi 阴离子交换换脂
'yin'li'zi'jiao'huan'ji 阴离子交换剂
'yin'li'zi'jiao'huan'shu'zhi 阴离子交换树脂
'yin'li'zi'tong'dao 阴离子通道
'yin'li'zi'xing'qu'wu'ji 阴离子型去污剂
'yin'liu 龈瘤
'yin'liu'guan 引流管
'yin'liu'xue'zhi'shu 龈流血指数
'yin'ma'er'ke'fu'mo'xing 隐马尔柯夫模型
'yin'mao'mei'rong'shu 阴毛美容术
'yin'mao'yi'zhi 阴毛移植
'yin'men'lian 阴门帘
'yin'mo'cai'liao 印模材料
'yin'mo'gao 印模膏
'yin'mo'hu'ji 印模糊剂
'yin'mo'mian 印模面
'yin'mo'shi'gao 印模石膏
'yin'mo'tuo'pan 印模托盘
'yin'nang'ai 阴囊癌
'yin'nang'cuo'shang 阴囊挫伤
'yin'nang'dui'lie 阴囊对裂
'yin'nang'fa'yu'bu'quan 阴囊发育不全
'yin'nang'fang'xian'jun'bing 阴囊放线菌病
'yin'nang'huai'ju 阴囊坏疽
'yin'nang'ji'xing 阴囊畸形
'yin'nang'jiao'hua'nang'zhong 阴囊角化囊肿
'yin'nang'jie'he 阴囊结核
'yin'nang'jie'shi 阴囊结石
'yin'nang'nong'zhong 阴囊脓肿
'yin'nang'pi'fu'mei'du 阴囊皮肤梅毒
'yin'nang'pi'zhi'xian'nang'zhong 阴囊皮脂腺囊肿
'yin'nang'que'ru 阴囊缺如
'yin'nang'sao'yang 阴囊瘙痒
'yin'nang'shui'nang 阴囊水囊
'yin'nang'si'chong'bing 阴囊丝虫病
'yin'nang'sun'shang 阴囊损伤
'yin'nang'xia'chui 阴囊下垂
'yin'nang'xiang'pi'bing 阴囊象皮病
'yin'nang'xue'guan'jiao'hua'liu 阴囊血管角化瘤
'yin'nang'xue'guan'liu 阴囊血管瘤
'yin'nang'xue'zhong 阴囊血肿
'yin'nang'yi'wei 阴囊异位
'yin'nang'zhi'fang'liu 阴囊脂肪瘤
'yin'nang'zhi'liu 阴囊脂瘤
'yin'nang'zhong'liu 阴囊肿瘤
'yin'nang'zhuan'wei 阴囊转位
'yin'ni'se 隐匿色
'yin'ni'yin'jing 隐匿阴茎
'yin'pei'ji 隐配基
'yin'pin'dian'liao'fa 音频电疗法
'yin'pin'jian 隐品碱
'yin'ping'mian 龈平面
'yin'qi'you'bian 引起诱变
'yin'qie'chu'shu 龈切除术
'yin'qiu'jun'bing 隐球菌病
'yin'qiu'mei'su 隐球霉素
'yin'qu 龈曲
'yin'ran'se 银染色
'yin'ru'tou 龈乳头
'yin'ru'tou'yan 龈乳头炎
'yin'san'tong 茚三酮
'yin'san'tong'fan'ying 茚三酮反应
'yin'shang'ya'shi 龈上牙石
'yin'sheng'zhi'wu 阴生植物
'yin'shi'bing 阴虱病
'yin'shi'liao'fa 饮食疗法
'yin'shi'lu'gou'long 尹氏芦沟龙
'yin'shi'wu 饮食物
'yin'shi'xing'tang'niao 饮食性糖尿
'yin'shi'xue 饮食学
'yin'shi'xue'jia 饮食学家
'yin'shui'xiao'du'ji 饮水消毒剂
'yin'tong 隐酮
'yin'tou'guo 隐头果
'yin'tou'hua'xu 隐头花序
'yin'wei'li 隐微粒
'yin'wo 隐窝
'yin'wo 音握
'yin'wo'yan 隐窝炎
'yin'wo'zhuang 隐窝状
'yin'wu 引物
'yin'wu'he'cheng'mei 引物合成酶
'yin'wu'yan'shen 引物延伸
'yin'wu'yu'he'cheng 引物预合成
'yin'xia'gua'zhi'qi 龈下刮治器
'yin'xia'gua'zhi'shu 龈下刮治术
'yin'xia'wai'xing 龈下外形
'yin'xia'ya'shi 龈下牙石
'yin'xian 龈线
'yin'xie'bing'guan'jie'yan 银屑病关节炎
'yin'xie'bing'xing'bo'tuo'xing'pi'yan 银屑病性剥脱性皮炎
'yin'xing'ai'ji'yin 隐性癌基因
'yin'xing'chun 银杏醇
'yin'xing'chun'he'zi 隐性纯合子
'yin'xing'deng'wei'ji'yin 隐性等位基因
'yin'xing'dong'wu 隐性动物
'yin'xing'hua 隐性化
'yin'xing'huang'su 银杏黄素
'yin'xing'ji'zhu'lie 隐性脊柱裂
'yin'xing'lu'lie 隐性颅裂
'yin'xing'mei'du 隐性梅毒
'yin'xing'mian'yi'zuo'yong 隐性免疫作用
'yin'xing'suan'zhong'du 隐性酸中毒
'yin'xing'te'zheng 隐性特征
'yin'xing'tu'bian 隐性突变
'yin'xing'zhi'wu 阴性植物
'yin'ya'dan'wei 龈牙单位
'yin'ya'jie'he'bu 龈牙结合部
'yin'ya'xian'wei 龈牙纤维
'yin'ya'zhi'wu 隐芽植物
'yin'yan 龈炎
'yin'yan 因炎
'yin'yan'zhi'shu 龈炎指数
'yin'ye'zuo'yong 饮液作用
'yin'yong 隐蛹
'yin'you'si'fen'lie 隐有丝分裂
'yin'you'xuan'ze 引诱选择
'yin'yu'jian 茵芋碱
'yin'yuan'gao'dian 龈缘高点
'yin'yuan'gao'du 龈缘高度
'yin'yuan'tu 龈缘突
'yin'yuan'wan'zhong 龈缘弯肿
'yin'yue'dian'liao'fa 音乐电疗法
'yin'yue'liao'fa 音乐疗法
'yin'zai'chun 隐甾醇
'yin'zao'gang 隐藻纲
'yin'zao'zao'hong'dan'bai 隐藻藻红蛋白
'yin'zao'zao'lan'dan'bai 隐藻藻蓝蛋白
'yin'zhuang'ti 蚓状体
'yin'zi'dui 因子对
'ying'ai 硬癌
'ying'ban'bing 硬斑病
'ying'bing 瘿病
'ying'cao'cao'ben'qun'luo 硬草草本群落
'ying'cao'cao'dian 硬草草甸
'ying'cao'gan 樱草苷
'ying'cao'tang 樱草糖
'ying'chao 营巢
'ying'chi'mu 缨翅目
'ying'dan'bai 硬蛋白
'ying'dan'hong'su 应胆红素
'ying'e'lie 硬腭裂
'ying'er'gu'pi'zhi'zeng'sheng'zheng 婴儿骨皮质增生症
'ying'er'huai'ju'xing'pi'yan 婴儿坏疽性皮炎
'ying'er'mei'gui'zhen 婴儿玫瑰疹
'ying'er'nian'ye'shui'zhong 婴儿粘液水肿
'ying'er'qiao'mo'ji'ye 婴儿鞘膜积液
'ying'er'shen 婴儿肾
'ying'er'shi'zhen 婴儿湿疹
'ying'er'tun'bu'rou'ya'zhong 婴儿臀部肉芽肿
'ying'er'zhi'bu'xian'wei'liu'bing 婴儿趾部纤维瘤病
'ying'er'zhi'bu'xian'wei'liu'bing 婴儿指部纤维瘤病
'ying'fei'yan'cao'ci'jian 硬飞燕草次碱
'ying'feng 瘿蜂
'ying'gu'ban 硬骨板
'ying'gu'yu 硬骨鱼
'ying'gu'yu'cui'chan'su 硬骨鱼催产素
'ying'gu'yu'lei 硬骨鱼类
'ying'guang'an 荧光胺
'ying'guang'biao'ji 荧光标记
'ying'guang'ce'ding 荧光测定
'ying'guang'ce'ding'fa 荧光测定法
'ying'guang'cu'mie 荧光猝灭
'ying'guang'cu'mie'ji 荧光猝灭剂
